steam_appid,categories,genres,header_image,short_description,name,developer,publisher,price,ccu,score
1028860,"['Single-player', 'Steam Achievements', 'In-App Purchases']",Casual,https://cdn.akamai.steamstatic.com/steam/apps/1028860/header.jpg?t=1554275950,"Over 20 Million Downloads Worldwide! Play Star Chef, a cooking simulation game that celebrates delicious flavours, letting you run your own café and 5 star restaurant. Experience the joy of managing a bustling business dicing fresh ingredients while exploring your passion for cuisines across the world!",Star Chef: Cooking & Restaurant Game,99Games Online Pvt. Ltd.,99Games Online Pvt. Ltd.,0,73,56
633460,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",Action,https://cdn.akamai.steamstatic.com/steam/apps/633460/header.jpg?t=1655194937,"Experience authentic First World War action with 64 player battles of maneuver on the Eastern Front. Grab your rifle, ready your sabre and keep your gas mask close as you prepare to play a part in one of the most significant conflicts in history!",Tannenberg,"M2H, Blackmill Games",M2H,499,73,69
628110,"['Single-player', 'Steam Cloud']",Strategy,https://cdn.akamai.steamstatic.com/steam/apps/628110/header.jpg?t=1650591488,"&quot;NOBUNAGA’S AMBITION: Reppuden with Power Up Kit&quot; is an expanded version of &quot;NOBUNAGA'S AMBITION: Reppuden,&quot; which was released in 1999 as the 8th game in the series. Reppuden is a strategy based simulation game in which players delve into the lives of the heroes who roamed the chaotic Warring States period.",NOBUNAGA'S AMBITION: Reppuden with Power Up Kit,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",1999,73,74
350640,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV']",Action,https://cdn.akamai.steamstatic.com/steam/apps/350640/header.jpg?t=1627894728,"Experience a fantastic adventure with unique gameplay that blends investigation, action and exploration in a breath-taking thriller that will test the limits of your nerves and intelligence. Play as the great detective and track down evil in the darkest corners of London and the human soul…",Sherlock Holmes: The Devil's Daughter,Frogwares,Frogwares,2999,73,65
1263550,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'In-App Purchases']",Action,https://cdn.akamai.steamstatic.com/steam/apps/1263550/header.jpg?t=1654049133,"Combat Arms: the Classic is a multiplayer game, free-to-play modern first-person shooter. The game is a relaunch of Combat Arms in its glory days delivering gamers a nostalgic high-quality FPS with an extensive arsenal of weapons.",Combat Arms: the Classic,"VALOFE, NEXON",VALOFE,0,72,65
754500,"['Single-player', 'Steam Trading Cards']",Indie,https://cdn.akamai.steamstatic.com/steam/apps/754500/header.jpg?t=1643723169,"The business simulator Plutocracy gives you the chance to become wealthy and powerful to take control over the world. Where policy, laws, officials and people are only the chess pieces how do you play your game?",Plutocracy,Redwood,Redwood,2499,72,77
1371720,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",Adventure,https://cdn.akamai.steamstatic.com/steam/apps/1371720/header.jpg?t=1654592357,"Card Shark is an adventure game full of cunning, intrigue, and delectable deceit. Enter a world where you’ll need to play your opponents better than you play your cards.",Card Shark,Nerial,Devolver Digital,1999,72,91
464340,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']",Adventure,https://cdn.akamai.steamstatic.com/steam/apps/464340/header.jpg?t=1641982662,"The next generation in adventure games, Syberia 3 takes you inside an enchanting, mysterious universe full of life for you to explore in 3D. Plunged into the heart of a world inhabited by a cast of interesting characters, you'll discover and experience a fabulous tale as imagined by Benoit Sokal.",Syberia 3,Microids,Microids,2999,72,51
695290,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Full controller support', 'Stats', 'Steam Turn Notifications', 'Includes level editor', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together']",Indie,https://cdn.akamai.steamstatic.com/steam/apps/695290/header.jpg?t=1588805133,"Do you have what it takes to win PGA TOUR’s FedExCup? Compete in the all new officially licensed PGA TOUR Career mode. Play on famous courses like TPC Boston, TPC Sawgrass and more.",The Golf Club 2019 featuring PGA TOUR,HB Studios Multimedia Ltd.,2K,4999,72,72
342560,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Workshop']",Action,https://cdn.akamai.steamstatic.com/steam/apps/342560/header.jpg?t=1596619697,"Construct mighty steampunk airships and fly them into battle, waging war and conquering the skies!",Airships: Conquer the Skies,David Stark,David Stark,2499,72,96
1562700,"['Single-player', 'Partial Controller Support', 'Steam Cloud']",Action,https://cdn.akamai.steamstatic.com/steam/apps/1562700/header.jpg?t=1657874855,"SANABI is an exhilarating stylish dystopian action-platformer. Play as a legendary retired veteran and use your signature prosthetic arm to jump over cliffs and skyscrapers, zip through bullets and traps and defeat powerful enemies.",SANABI,WONDER POTION,NEOWIZ,1499,72,97
753650,"['Multi-player', 'PvP', 'Online PvP']",Action,https://cdn.akamai.steamstatic.com/steam/apps/753650/header.jpg?t=1636662209,A PVP tactical FPS about PLANNING &amp; EXECUTION. Sound strategy and good teamwork are essential for victory because new PROCEDURALLY-GENERATED MAPS are delivered every week. You'll face a new tactical challenge every round.,Due Process,Giant Enemy Crab,Annapurna Interactive,1499,72,82
691260,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer', 'In-App Purchases']",Action,https://cdn.akamai.steamstatic.com/steam/apps/691260/header.jpg?t=1647546308,Fight anywhere in this squad-based VR Battle Royale,POPULATION: ONE,"BigBox VR, Inc.","BigBox VR, Inc.",2099,72,85
1644490,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",Action,https://cdn.akamai.steamstatic.com/steam/apps/1644490/header.jpg?t=1653403204,"Occult is a dynamic cooperative game with elements of horror and quest. You are waiting for a variety of opponents, puzzles and endings!",Occult,Renderise,Renderise,499,72,76
1423600,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",RPG,https://cdn.akamai.steamstatic.com/steam/apps/1423600/header.jpg?t=1642387729,"“As the last summer day fades, all is illuminated.” With gorgeous translucent designs by Mel Kishida, as well as a story that depicts the youth of lifelike girls, based on a theme of human identity and bonding, a new title in the BLUE REFLECTION series is here!",BLUE REFLECTION: Second Light,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",5999,72,93
32460,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']",Adventure,https://cdn.akamai.steamstatic.com/steam/apps/32460/header.jpg?t=1657725463,"Wannabe pirate Guybrush Threepwood, and the now zombie pirate LeChuck, return in what has long been considered one of the greatest LucasArts adventure games of all time.",Monkey Island 2 Special Edition: LeChuck’s Revenge,LucasArts,"LucasArts, Lucasfilm, Disney",999,72,87
209650,"['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Steam Leaderboards', 'Remote Play on TV']",Action,https://cdn.akamai.steamstatic.com/steam/apps/209650/header.jpg?t=1646762527,"Call of Duty®: Advanced Warfare envisions a powerful future, where both technology and tactics have evolved to usher in a new era of combat for the franchise.Power Changes Everything.",Call of Duty: Advanced Warfare - Gold Edition,"Sledgehammer Games, Raven Software",Activision,4999,72,78
440760,"['Single-player', 'Steam Trading Cards']",Action,https://cdn.akamai.steamstatic.com/steam/apps/440760/header.jpg?t=1516981371,Cube Destroyer is a top-down shooter with a dynamic gameplay.,Cube Destroyer,Freedomize Studio,Freedomize Studio,49,72,86
